62	62	62	36	251
955	749	169	955	865
683	704	556	214	773
534	382	134	836	197
234	597	690	63	63
718	718	4	718	718
907	907	907	907	907
378	690	937	94	675
787	121	811	193	175
760	635	125	715	740
366	732	113	934	10
425	388	822	822	827
604	640	423	388	23
451	705	344	921	31
664	751	664	313	664
410	238	979	479	374
823	103	381	921	342
225	225	225	225	225
204	355	895	180	760
936	830	398	329	500
45	240	45	283	45
344	481	823	783	711
36	509	493	669	920
486	895	882	145	153
284	284	284	284	284
736	751	751	751	751
929	548	548	685	548
920	248	263	248	248
185	483	948	565	358
999	999	22	999	757
136	196	188	557	804
832	715	171	430	91
158	996	385	450	512
798	626	282	878	369
801	21	139	236	193
602	773	168	378	449
451	563	563	563	563
746	247	419	940	449
58	531	286	175	34
54	649	432	590	590
148	630	854	618	475
97	734	337	228	526
167	23	413	856	681
219	386	616	558	11
170	329	742	454	624
287	657	542	657	69
773	773	773	609	349
347	347	950	347	453
86	660	929	242	527
219	219	860	219	219
750	513	620	750	878
719	719	719	719	719
596	596	596	596	596
555	555	555	555	555
670	864	686	496	242
103	109	989	719	523
644	766	644	500	644
293	114	618	983	176
332	80	911	80	339
271	568	15	711	578
375	399	547	929	190
499	577	333	278	176
104	104	104	104	104
812	131	225	731	28
361	603	423	814	759
66	66	66	66	66
981	151	868	384	981
659	659	996	659	659
549	628	628	989	748
473	658	658	658	958
28	28	28	28	28
995	995	348	995	995
733	283	158	733	532
522	437	391	700	482
960	133	565	924	559
405	405	405	405	405
315	464	722	999	999
493	177	177	177	224
759	454	357	759	260
487	437	785	32	18
113	848	171	264	601
942	144	144	144	144
4	369	847	227	161
260	86	86	86	247
214	603	369	211	403
706	134	546	200	178
715	101	81	796	540
266	786	703	17	989
858	152	453	694	685
178	43	590	718	555
819	819	819	819	819
450	697	939	715	870
706	706	550	706	706
756	64	652	798	606
311	311	311	891	683
123	123	123	123	123
939	684	939	939	939
789	789	789	789	789
209	264	77	354	104
52	385	562	969	432
156	169	110	118	662
852	221	661	221	890
172	800	561	438	869
753	971	746	530	706
418	362	482	976	149
771	505	771	771	771
654	209	836	411	117
622	301	656	297	531
583	304	20	984	75
746	29	436	835	407
935	319	973	645	140
356	288	910	942	927
512	949	542	534	214
947	47	269	639	273
272	517	64	322	659
406	867	288	380	249
23	87	467	677	756
679	679	679	679	679
880	847	513	117	228
445	445	445	445	445
286	591	286	286	286
570	284	284	314	220
501	794	28	143	619
476	476	476	476	437
184	156	576	911	677
77	949	949	949	949
58	85	936	59	962
192	72	136	822	550
838	838	838	838	838
869	869	869	869	869
841	683	183	652	183
564	804	804	804	804
91	566	226	42	121
420	420	420	420	420
795	655	882	326	449
920	59	468	959	59
150	600	476	369	884
634	764	634	440	634
7	31	601	430	988
605	605	5	605	918
164	164	164	952	164
494	907	515	449	573
627	371	408	672	371
25	171	30	253	253
133	60	60	60	60
794	658	566	274	920
497	513	815	556	84
421	258	611	157	897
275	388	635	275	275
701	369	166	396	922
358	271	325	19	683
259	488	920	13	453
849	519	211	753	832
760	582	851	760	760
413	413	587	413	413
915	112	601	331	412
251	513	333	295	652
974	554	216	558	378
917	666	906	817	548
842	842	842	844	842
76	715	715	715	715
78	902	536	362	729
56	215	99	237	238
971	700	369	240	413
282	909	909	218	609
925	121	619	257	499
865	804	693	183	725
778	203	712	904	522
910	819	895	307	33
483	946	421	754	114
138	996	966	838	999
707	582	380	648	623
558	441	507	312	507
758	866	658	270	725
526	865	559	49	764
99	778	25	25	25
927	251	388	165	613
335	890	903	564	421
1	1	107	166	466
82	279	434	160	42
562	600	476	492	826
78	943	485	628	972
447	488	899	724	50
905	211	312	742	967
899	125	899	899	899
176	646	547	705	743
373	940	812	490	373
213	949	779	453	375
560	142	560	560	244
722	722	722	574	554
291	201	917	793	363
107	107	107	107	107
151	147	147	147	147
587	327	150	75	326
183	515	790	19	404
112	672	962	131	474
971	210	33	450	33
26	598	598	598	598
94	955	668	204	662
720	595	35	557	716
211	758	986	986	335
507	293	298	984	435
724	240	556	156	669
962	466	927	392	447
464	590	132	11	573
709	991	624	113	194
233	233	233	408	376
582	219	219	219	219
837	343	168	938	46
31	203	275	626	834
59	38	59	853	139
61	481	686	88	868
201	933	915	856	708
459	744	537	182	523
675	307	940	329	913
621	978	760	236	158
822	319	623	275	792
10	81	81	81	42
716	294	588	727	588
280	228	629	832	684
324	324	356	322	84
684	760	29	280	221
789	173	726	612	211
875	144	703	499	462
577	300	156	425	240
803	255	314	798	366
137	437	437	299	437
95	935	271	331	156
267	271	835	506	810
417	417	378	417	417
508	538	11	765	7
392	907	252	658	352
614	741	830	39	381
558	176	736	503	842
628	628	628	628	628
487	73	296	649	45
350	45	45	45	45
298	362	888	350	27
787	124	124	124	124
839	473	540	878	689
117	564	178	48	388
196	196	196	196	196
595	595	595	595	83
257	730	567	349	253
490	195	845	490	880
332	161	332	332	332
771	771	771	771	771
519	419	425	425	425
702	790	51	324	51
9	808	61	58	757
76	76	76	487	76
498	560	32	288	728
818	818	818	818	818
747	764	863	403	580
731	795	551	100	660
934	114	934	934	934
431	579	620	850	852
788	784	278	576	421
932	932	932	932	932
283	702	878	132	176
405	645	884	987	919
393	774	557	583	114
717	717	717	717	717
322	399	399	399	399
277	938	586	832	832
435	80	329	300	707
299	502	764	732	952
848	176	750	276	881
545	238	854	477	891
647	647	94	188	161
440	440	440	440	440
113	14	204	898	568
14	312	934	59	515
367	548	897	918	733
168	696	204	454	443
890	371	759	191	940
757	847	983	620	896
172	169	419	190	811
64	194	194	194	383
78	450	297	78	78
971	400	635	656	122
720	4	95	987	982
298	780	69	350	147
227	227	227	227	827
491	610	853	997	752
834	549	454	562	168
405	926	95	934	827
170	697	633	464	455
764	526	335	884	510
162	162	162	162	162
144	793	689	808	689
460	325	713	432	713
641	641	760	260	641
975	975	975	975	975
995	46	995	995	995
471	240	844	16	996
956	956	274	237	439
209	923	846	457	944
950	465	465	659	473
327	850	55	923	56
183	183	183	688	183
231	894	519	802	308
562	639	639	639	639
816	537	411	561	744
682	693	376	825	671
527	527	527	638	527
616	616	994	616	616
323	323	370	680	524
927	190	233	680	305
900	701	518	627	958
391	123	868	816	664
343	910	332	775	241
141	214	585	255	33
140	482	923	266	837
741	74	654	334	661
898	358	698	209	15
274	532	75	285	771
21	509	344	515	515
824	757	296	858	467
517	910	996	653	982
339	64	102	508	646
812	812	812	708	812
281	281	281	281	281
570	928	32	173	271
315	851	207	793	31
896	570	636	19	981
265	388	770	35	738
970	961	729	558	509
419	15	987	280	589
353	702	939	5	669
398	553	666	704	704
951	951	951	951	417
839	839	839	839	839
720	720	720	720	720
649	50	636	649	661
995	622	240	591	385
71	922	213	980	600
820	324	162	189	905
799	258	795	518	813
770	638	234	54	638
787	480	787	787	787
665	172	708	172	337
39	326	39	818	39
911	377	485	932	2
649	692	673	458	22
332	719	442	348	173
420	418	227	535	31
736	736	736	736	736
122	122	122	122	122
102	102	102	102	102
827	911	29	165	796
811	948	515	932	45
183	151	322	955	265
848	984	412	848	848
85	559	106	85	85
496	824	89	217	981
770	323	153	323	523
522	981	181	151	818
557	591	531	77	591
710	224	698	521	653
481	85	553	481	444
248	805	328	179	468
25	837	332	573	914
699	117	117	672	443
268	268	268	268	268
713	532	832	502	281
946	593	868	326	312
117	174	759	633	868
323	268	246	761	947
656	833	537	941	8
811	966	668	131	90
456	789	206	789	499
859	631	859	859	450
140	34	694	908	784
976	914	939	107	339
686	686	686	330	686
499	627	365	627	117
253	387	642	865	651
704	169	370	470	891
743	21	81	780	440
845	923	439	551	593
756	750	91	301	819
260	260	260	260	260
879	909	612	624	255
353	242	711	979	47
153	600	651	173	932
823	314	648	745	374
638	638	93	638	638
135	738	307	234	346
794	524	427	203	24
136	618	28	761	798
409	108	147	409	218
230	784	215	618	394
854	745	299	749	106
200	200	744	200	200
257	987	987	987	750
837	837	924	837	837
194	194	255	194	223
577	577	8	566	577
176	176	256	68	176
990	931	819	819	876
972	558	851	685	91
636	562	630	297	304
451	668	451	740	451
768	549	617	159	214
148	148	148	148	148
246	320	447	632	720
317	317	317	317	317
90	90	90	90	90
587	379	334	167	399
692	910	622	992	507
666	502	451	393	887
383	598	434	434	434
431	633	60	880	798
641	10	903	815	943
548	666	360	567	104
